Question,Answer
Wie kann ich meine Daten ändern?,Ihre Daten können Sie bequem in der FamilienMomente-App ändern. Klicken Sie im Bereich „Mein Profil“ auf „Meine Daten“ um Ihre Daten einzusehen. Änderungen sind über das Bleistiftsymbol neben dem Datensatz möglich und müssen durch den Klick auf „Speichern“ bestätigt werden.
Warum brauche ich die FamilienMomente App?,"Die FamilienMomente App bietet Ihnen exklusive Vorteile, bestehend aus interessanten Ratgebern, wertvollen Expertentipps, tollen Gewinnspielen sowie alles rund um unsere Geburtstags-Boxen. Um die Boxen zu erhalten, müssen Sie über die App angemeldet sein."
"Erhalte ich die Willkommens-Box auch, wenn ich im Ausland lebe?","Nein, Sie erhalten leider keine Willkommens-Box, wenn Sie im Ausland leben. Bitte haben Sie Verständnis dafür, dass wir die Willkommens-Box nur an Personen schicken können, die ihren Wohnsitz in der BRD haben."
Wo kann ich mich über FamilienMomente informieren?,"Alle Momente, Rezepte und Tipps finden Sie auf unserer Webseite unter kaufland.de/familienmomente ."
War meine Anmeldung erfolgreich?,"Nach Eingabe Ihrer Daten erhalten Sie eine E-Mail von uns, in der Sie Ihr Interesse an den Kaufland FamilienMomenten mit Klick auf dem beigefügten Link innerhalb von sieben Tagen bestätigen müssen. Erst wenn diese Bestätigung bei uns eingegangen ist, erhalten Sie unseren Newsletter regelmäßig per E-Mail. Falls Sie keine E-Mail in Ihrem Posteingang finden, schauen Sie bitte auch in Ihrem Spamordner nach."
Ich weiß noch nicht wie mein Kind heißen soll - kann ich die Schwangerschaft trotzdem anmelden? Wie bekomme ich dann mein besticktes Handtuch?,"Wenn Sie Ihre Schwangerschaft anmelden, begleiten wir Sie ab der achten Schwangerschaftswoche mit hilfreichen Tipps, Rezepten und Übungen durch die Schwangerschaft. Hierfür müssen Sie nur den voraussichtlichen Geburtstermin Ihres Sonnenscheins angeben. Sobald der voraussichtliche Geburtstermin erreicht ist, erhalten Sie eine Mail mit der Bitte, Ihre Daten zu aktualisieren. Erst wenn Sie Geschlecht und Namen Ihres Kindes angegeben haben, können wir die Willkommens-Box versenden."
Wir erwarten Mehrlinge. Wie können wir die Mehrlingsschwangerschaft angeben?,"In der FamilienMomente App können Sie angeben, wie viele Kinder Sie erwarten. Hier können Sie maximal drei Kinder anmelden. Sie haben mehr als drei Kinder oder erwarten Vierlinge? Dann müssten Sie neben Ihres bereits bestehenden Kundenkontos, ein zweites Kundenkonto eröffnen und sich ein zweites Mal für FamilienMomente anmelden."
Mein Baby ist geboren – wo kann ich meine Daten aktualisieren?,Ihre Daten können Sie direkt in der App unter dem Menüpunkt „Mein Profil“ – „Meine Daten“ ändern.
Wie kann ich mich vom Newsletter abmelden?,"Sollten Sie kein Interesse mehr an unseren Newlsettern haben, können Sie sich direkt im Newsletter abmelden. Den Link dazu finden Sie immer am Ende des Newsletters."
Wie kann ich meine Daten löschen?,Ihre Daten können Sie bequem in der FamilienMomente-App ändern oder eine Löschung beantragen. Klicken Sie im Bereich „Mein Profil“ auf „Meine Daten“ um Ihre Daten einzusehen. Öffnen Sie über das Bleistiftsymbol neben dem Datensatz „Über mich“ Ihre Angaben. Dort finden Sie ganz unten die Option „FamilienMomente-Profil Löschung beantragen“.
Gibt es Mengenbegrenzungen bei Sonderangeboten?,"Unsere Angebote sind auf unsere Endverbraucher ausgerichtet. Wir möchten unsere Sonderangebote für eine möglichst große Anzahl unserer Kunden bereitstellen, deshalb gilt der Grundsatz: Einkauf in haushaltsüblichen Mengen. Zu unseren aktuellen Angeboten"
Wo finde ich Informationen zur nächsten Filiale?,Bitte benutzen Sie dafür unsere Filialsuche: Jetzt Filiale auswählen
Wie ermitteln Sie die Mengen für Ihre Werbeaktionen?,"Wir legen die Mengen aufgrund der Erfahrungswerte für ähnliche Produkte aus der Vergangenheit fest. In der Regel ist die „Trefferquote“ dabei sehr gut. Trotz umfassender Vorbereitung der Werbeaktionen und ausreichender Belieferung unserer Filialen kann es leider vorkommen, dass der Abverkauf eines Artikels unsere Erwartungen weit übertrifft. Wir versichern Ihnen, die notwendigen Mengen stets mit größter Sorgfalt zu Ihrer Zufriedenheit zu ermitteln. Zu unseren aktuellen Angeboten"
Wo kann ich mich über die Öffnungszeiten informieren?,"Bitte benutzen Sie unsere Filialsuche, dort finden Sie auch die Öffnungszeiten einzelner Filialen: Jetzt Filiale auswählen"
Wie finde ich eine Filiale mit einem speziellen Service?,"Wenn sich in Ihrer Nähe mehrere Kaufland-Filialen befinden, können Sie über die Filterfunktion Ihre Wunsch-Filiale mit einem bestimmten Service suchen. Klicken Sie hierzu einfach in unsere Fiilialsuche auf „Filter auswählen“ und setzen Sie Häkchen an Ihre Wunsch-Services, wie zum Beispiel Imbiss. Zur Filialsuche"
Wie kann ich eine Filiale kontaktieren?,"Bitte benutzen Sie unsere Filialsuche, dort finden Sie neben den Öffnungszeiten und Services der Filiale auch die Telefonnummern der Filialen. Außerdem finden Sie auf der Detailseite zur Filiale auch den Link zu unserem Kontaktformular . Zur Filialsuche"
Wie funktioniert das gebührenfreie Abheben von Bargeld?,Alle Infos zum Abheben von Bargeld an unseren Kassen finden Sie in unserem Servicebereich auf dieser Seite .
Kann ich bei Kaufland kontaktlos bezahlen? (NFC),"Ja, bei Ihrem Einkauf bei uns können Sie auch kontaktlos bezahlen. Informationen über Ihre Vorteile, die Funktionsweise und die Voraussetzungen finden Sie in unserem Servicebereich auf dieser Seite ."
Kann ich bei Kaufland bargeldlos bezahlen?,"Natürlich. Mit Ihrer Girocard können Sie bei Kaufland ganz einfach und bequem bargeldlos bezahlen. Außerdem können Sie bei uns auch mit Ihrer MasterCard, American Express, Visa, V-Pay, Diners Club und Discover bezahlen – und das ohne Mindestumsatz und ohne Gebühren."
Wie stellen Sie Ihr Sortiment zusammen?,"Ob wir unser umfangreiches Sortiment erweitern oder einen Artikel nicht mehr anbieten, machen wir in erster Linie von den Wünschen unserer Kunden abhängig. Dabei achten wir besonders auf ein gutes Preis-Leistungs-Verhältnis. Zu unseren aktuellen Angeboten"
Geben Sie alle Preissenkungen an Ihre Kunden weiter?,"Sie können sich sicher sein: keiner ist billiger als wir, denn wir bieten Ihnen bestmögliche Qualität zum Discount-Billigpreis! Überzeugen Sie sich selbst davon, dass knackige Frische, erstklassige Qualität, riesige Auswahl und viele Garantien und Serviceleistungen nicht teuer sein müssen. Leider lassen sich Preisanpassungen aufgrund von steigenden Öl- und Energiepreisen, erhöhten Rohstoffkosten oder schlechten Ernteerträgen aber nicht immer vermeiden. Doch immer, wenn wir die Möglichkeit haben, werden wir die Preise senken oder stabilisieren. Auf unsere täglich günstigen Preise können Sie sich verlassen! Zu unseren aktuellen Angeboten"
Welche Getränkeeinwegverpackungen kann ich bei Ihnen abgeben?,"Wir nehmen alle pfandpflichtigen Getränkedosen und alle pfandpflichtigen PET-Einwegflaschen zurück, die entweder mit dem Einwegpfand-Zeichen der Deutschen Pfandsystem GmbH (DPG) oder einem der bisherigen Pfand-Zeichen gekennzeichnet sind und für die Einwegpfand bezahlt worden ist."
Veröffentlichen Sie Ihre Angebote auch im Internet?,"Ja, das tun wir: Unter „Angebote“ finden Sie die Angebote der aktuellen und der kommenden Woche, unter „Unsere Marken“ finden Sie unser Eigenmarken-Sortiment mit Preis. Dabei gelten die Angebote immer für Ihre aktuell ausgewählte Filiale. Zu unseren aktuellen Angeboten Unser Eigenmarken-Sortiment Hier können Sie Ihre Filiale ändern: Zur Filialsuche"
Wie lade ich mein Handy-Guthaben auf und wo finde ich die Prepaid-Karten?,"Egal ob Sie mit K-Classic Mobil, T-Mobile, e-plus, vodafone, O2, blau.de, fonic, Tchibo oder congstar telefonieren – die passende Karte finden Sie an unseren Kassen und dort, wo in unseren Filialen auch die Batterien hängen. Einfach die richtige Karte aussuchen, an unseren Kassen bezahlen und die PIN auf dem Kassenzettel in Ihr Handy eingeben. So funktioniert's genau: Nehmen Sie eine der so genannten „Dummy-Karten“ aus dem Regal. Zahlen Sie die Dummy-Karte an der Kasse. Auf dem Kassenbon, den Sie dann erhalten, wird eine PIN ausgewiesen. Geben Sie diese einfach in Ihr Handy ein. Und schon können Sie telefonieren!"
Welche Eigenmarken bieten wir an?,Wir bieten Ihnen folgende Eigenmarken: unsere exklusive Genuss-Marke K-FAVOURITES unsere Drogeriemarke BEVOLA® unsere Biomarke K-BIO unsere Diskountmarke K-CLASSIC laktosefreie Produkte von K-FREE vegane und vegetarische Produkte von K-TAKE IT VEGGIE Prepaid-Tarife von KAUFLAND MOBIL Fleisch und Wurst von K-PURLAND Elektrogeräte von SWITCH ON Die Eigenmarken-Produkte werden ausschließlich für uns hergestellt. Zu unserem Eigenmarken-Sortiment in Ihrer Filiale
Finde ich Ihre Eigenmarkenprodukte in jeder Filiale?,"Ja, Sie erhalten unsere Eigenmarkenprodukte in jeder Kaufland-Filiale. Die Vielfalt der angebotenen Produkte unterscheidet sich von Filiale zu Filiale. Hier erhalten Sie eine Übersicht über unser Eigenmarken-Sortiment in Ihrer aktuell ausgewählten Filiale ."
Was ist ESL-Milch?,"Klassisch pasteurisierte Frischmilch ist in der Regel nur 5 bis 7 Tagen haltbar. Mit Hilfe der neuen Herstellungsverfahren, „Hocherhitzung“ und „Mikrofiltration“, kann Frischmilch bis zu 3 Wochen haltbar gemacht werden. Diese Milch wird auch als ESL-Milch (= Extended Shelf Life) bezeichnet. Um Ihnen als Verbraucher die Entscheidung zu erleichtern, wird die klassische Frischmilch mit dem Zusatz „traditionell hergestellt"" gekennzeichnet und bei ESL-Milch der Zusatz „länger haltbar"" auf die Milchverpackung aufgedruckt. Bei Frischmilch von K-CLASSIC und K-BIO handelt es sich um ESL-Milch, um Ihnen den Vorteil der längeren Haltbarkeit anbieten zu können."
Was bedeutet der Hinweis „Nur so erhalten Sie ein sicheres Lebensmittel“ auf dem Tee?,"Für Kräuter- und Früchtetee – ob lose oder als Teebeutel – gilt, dass diese unbedingt mit sprudelndem, kochendem Wasser übergossen und die angegebene Ziehdauer eingehalten werden sollte, damit evtl. vorhandene Keime abgetötet werden."
"Woran erkenne ich, ob ein Artikel Gluten oder Laktose enthält?","Zur besseren Identifikation der laktosefreien und glutenfreien Artikel in unserem Sortiment wurden die Regaletikettentexte der betreffenden Artikel überarbeitet. Der Textzusatz „laktosefrei“ beziehungsweise „glutenfrei“ ist seitdem durchweg im Etikettentext enthalten, in der Regel in Zeile 1 oder 2, in seltenen Fällen in Zeile 3. Der Texthinweis findet sich nur bei Artikeln, die auch einen entsprechenden Vermerk auf der Produktverpackung führen und bei denen diese Produkteigenschaft seitens des Lieferanten zugesichert ist. Gerne zeigen Ihnen die Mitarbeiter an der Information eine Übersicht der in Ihrem Markt gelisteten laktose- beziehungsweise glutenfreien Artikel. Bitte beachten Sie, dass diese Auflistung nicht unbefristet gültig ist. Da wir über Rezeptur-Änderungen oder sich verändernde Spurendeklarationen gar nicht oder nur sehr zeitverzögert informiert werden, kann eine detaillierte und aktuelle Aussage daher nur der entsprechende Markenhersteller treffen."
Welche Molkereiprodukte bei Kaufland sind mit Rohmilch hergestellt?,Die meisten Molkereiprodukte werden mit thermisierter oder pasteurisierter Milch hergestellt. Rohmilchprodukte sind mit dem Hinweis „mit Rohmilch hergestellt“ gekennzeichnet.
Was ist BEVOLA®?,"BEVOLA® ist die Drogeriemarke für alle, denen Qualität bei der Körperpflege sehr wichtig ist, die aber auch Freude an günstigen Preisen haben. BEVOLA® umfasst Drogerieprodukte für die ganze Familie: Pflege- und Reinigungsprodukte für Haut, Haar und Zähne, Hygieneprodukte und vieles mehr. Die Produkte werden exklusiv für Kaufland hergestellt. Das heißt, Kunden erhalten BEVOLA®-Produkte nur bei Kaufland."
Wie viele BEVOLA®-Produkte gibt es?,"Die Anzahl der Drogerieartikel von BEVOLA® steigt stetig. Das Sortiment umfasst mehr als 400 Drogerieprodukte. BEVOLA® wird laufend weiterentwickelt und der Drogeriebereich weiter ausgebaut. Es lohnt sich also, immer wieder nach neuen Pflegeprodukten von BEVOLA® Ausschau zu halten."
Warum ist das Produktangebot so umfangreich?,"BEVOLA® ist die Marke für die gesamte Familie. Mit BEVOLA® findest du bei Kaufland den Drogeriemarkt im Markt – wir möchten mit unserem Produktangebot die Bedürfnisse all unserer Kunden erfüllen und qualitativ gute Produkte zu einem guten Preis-Leistungsverhältnis bieten. Das heißt für dich, dass du nicht noch zusätzlich in anderen Märkten Produkte kaufen musst, sondern bei uns getreu dem „One Stop Shopping“-Gedanken alles bekommst was du benötigst. Unser Standardsortiment wird aus diesem Grund auch regelmäßig auf Trends geprüft, sodass bei uns auch stets neue Produkte zu finden sind, die dich begeistern."
Wo sind die BEVOLA®-Produkte preislich positioniert?,Sie sind eine kostengünstige Alternative zu teureren Markenprodukten.
Ist in den Deodorants Aluminium?,BEVOLA®-Deos ohne Aluminium sind entsprechend gekennzeichnet. Schauen Sie einfach mal in unserer Drogerie-Abteilung nach.
Wo werden die Produkte hergestellt und worauf achten wir bei der Produktion?,Drogerieartikel der Marke BEVOLA® werden zu großen Teilen in der EU hergestellt. Wir arbeiten mit erfahrenen Produzenten zusammen und wählen die Rezepturen der Produkte sorgfältig aus. Zusätzlich werden alle Drogerieprodukte von unabhängigen Laboren untersucht.
Was ist HIP&HOPPS®?,"HIP&HOPPS® ist die Marke für Kinderbekleidung, die Sie exklusiv bei Kaufland erhalten. Die Kindermarke richtet sich an alle, die Wert auf Qualität und Funktionalität zum günstigen Preis legen."
Welche Produkte gibt es?,"HIP&HOPPS® bietet eine Auswahl an Basics für den täglichen Bedarf. Bei uns finden Sie alle gängigen Gebrauchsartikel wie T-Shirts, Hosen oder Jacken. Der Sortimentsschwerpunkt liegt auf Unterwäsche und Strumpfwaren. Außerdem finden Sie in unseren regelmäßigen Angeboten immer wieder neue Produkte und Designs."
In welcher Form erfolgt die Qualitätssicherung bei den Textilien?,"Wir legen bei unserer Marke HIP&HOPPS® Wert auf hohe Qualität bei Material und Verarbeitung sowie auf die Einhaltung der gesetzlich vorgeschriebenen Grenzwerte für chemische und physikalische Eigenschaften. Durch regelmäßige Beobachtungen der Gesetzeslage stellen wir sicher, dass unsere Anforderungen aktuell sind. Alle HIP&HOPPS®-Produkte überzeugen durch ausgewählte Materialien, gute Verarbeitung, optimale Haltbarkeit und Funktionalität. Zudem sind alle eingesetzten Naturfasern aus GOTS-zertifizierter Bio-Baumwolle."
Wo werden die Produkte hergestellt?,Das Herstellungsland der Artikel der Marke HIP&HOPPS® wird auf dem Etikett angegeben. Wir arbeiten mit erfahrenen Produzenten zusammen und kontrollieren die Produkte regelmäßig nach eigenen hohen Qualitätskriterien.
Warum steht auf den HIP&HOPPS®-Produkten „Exclusively by Kaufland“?,"Wir von Kaufland bestimmen selbst das Markenkonzept von HIP&HOPPS® und definieren die Anforderungen an die Produkte, ihre Qualität und Verpackung. Wir übernehmen die volle rechtliche Verantwortung. Deshalb sind wir auf HIP&HOPPS®-Produkten als Hersteller genannt."
"Was kann ich tun, wenn ich mit meinem HIP&HOPPS®-Produkt nicht zufrieden bin?","Wie bei allen anderen Artikeln gilt in diesem Fall: Sollten Sie mit einem Artikel nicht zufrieden sein, stehen wir selbstverständlich zu unserer Garantie: „Ohne viel Worte – Geld zurück!“. Der Kaufpreis wird Ihnen dann beim nächsten Einkauf an der Information des Marktes erstattet."
Was zeichnet Bio-Baumwolle aus?,"Bio-Baumwolle wird nach den Richtlinien des ökologischen Landbaus produziert, dabei ist der Einsatz von Schadstoffen, wie chemischen Pestiziden und Düngemitteln, strengstens verboten. Bio-Baumwolle wird von Hand geerntet, dadurch wird auf die Verwendung von chemischen Entlaubungsmitteln, welche bei einer maschinellen Ernte eingesetzt werden, verzichtet. Dank der abwechselnden Bebauung mit anderen Pflanzenarten wird zum Erhalt der natürlichen Bodenfruchtbarkeit beigetragen; und gleichzeitig kann die Anfälligkeit für Pflanzenkrankheiten und -schädlinge reduziert werden. Somit trägt Bio-Baumwolle zum Erhalt der Gesundheit der Böden, der Natur und der Menschen, die sie anbauen, bei."
Welche Standards gibt es beim ökologischen Baumwollanbau?,"Zur Zertifizierung von Bio-Baumwolle werden offizielle Standards oder Zertifikate, wie „Organic Content Standard” (OCS), „Der Blaue Engel” oder „Global Organic Textile Standard” (GOTS) verwendet. Unter allen Zertifizierungssystemen ist GOTS das am meisten anerkannte Institut für Zertifizierungen von Bio-Baumwolle. Wir bei Kaufland arbeiten mit GOTS zusammen, um eine umweltverträgliche und sozial verantwortliche Textilproduktion sicherzustellen."
Wofür steht das GOTS-Siegel?,"Der „Global Organic Textile Standard” (GOTS) ist ein weltweit geltender Standard in der Textilindustrie, der sich für eine umweltverträgliche und sozial verantwortliche Textilproduktion einsetzt. Er definiert umwelttechnische Anforderungen entlang der gesamten textilen Produktionskette und fordert gleichzeitig die Einhaltung von Sozialkriterien. Das Siegel kennzeichnet Textilprodukte, die mindestens aus 70 Prozent biologisch erzeugten Naturfasern bestehen. Alle eingesetzten chemischen Zusätze, wie zum Beispiel Farbstoffe und Hilfsmittel, müssen bestimmte umweltrelevante und toxikologische Kriterien erfüllen. Auch soziale Mindeststandards sind Teil des Standards und werden überprüft. Weitere Informationen: www.global-standard.org"
Wofür steht das OEKO-TEX® Siegel?,"Der „STANDARD 100 by OEKO-TEX®” ist ein weltweit einheitliches und unabhängiges Zertifizierungssystem für Textilprodukte in allen Verarbeitungsstufen. Die Schadstoffprüfungen berücksichtigen wichtige gesetzliche Reglementierungen, gesundheitsbedenkliche Chemikalien sowie diverse Parameter zur Gesundheitsvorsorge. Die angewendeten Kriterien gehen dabei über national und international geltende Vorgaben hinaus. Voraussetzung für die Zertifizierung des STANDARD 100 Labels ist, dass sämtliche Bestandteile eines Artikels, also auch nichttextiles Zubehör wie Knöpfe oder Reißverschlüsse, die strengen, weltweit geltenden Anforderungen erfüllen. Weitere Informationen: www.oeko-tex.com"
Wofür steht BIONIC FINISH®?,"„BIONIC FINISH®” ist eine innovative Technologie, die eine Wasser- und Schmutzabweisung der Textilien ermöglicht. Durch dicht verzweigte und hydrophobe Polymere perlen Wassertropfen einfach ab und halten so das Gewebe trocken und leicht. Weitere Informationen: www.rudolf.de"
Stimmen die Größenangaben von HIP&HOPPS®-Produkten mit anderen Herstellern überein?,"Wir bei Kaufland richten uns bei allen Größenangaben nach standardisierten Größentabellen und arbeiten eng mit dem Hohenstein Institut zusammen, um eine perfekte Passform zu gewährleisten. Das Hohenstein Institut ist ein anerkanntes Prüflabor und Forschungsinstitut, welches sich auf Textilien und deren Zertifizierung spezialisiert. Bei unseren Überprüfungen werden alle Produkte mit den Vorgaben der Hohenstein Maßtabellen abgeglichen. Zusätzlich erfolgt eine Beurteilung der schnitttechnischen und verarbeitungstechnischen Aspekte der Kleidungsstücke und Schuhe."
Wie wasche ich die HIP&HOPPS®-Produkte?,"Die meisten HIP&HOPPS®-Artikel sind sie sehr pflegeleicht, da sie größtenteils aus Baumwolle bestehen. Vor der Produktion werden unsere Produkte mehrmaligen Waschtests unterzogen, um die Qualität zu gewährleisten. Alle Pflegehinweise zum jeweiligen Artikel finden Sie immer auf dem Pflegeetikett."
Woher holen wir unsere Inspiration für die Designs?,"Unsere Fachspezialisten sind ständig auf der Suche nach neuen Inspirationen. Seien es Fachmessen, Trend-Schulungen oder Wettbewerbsbeobachtungen – wir nutzen jede Möglichkeit für neue Ideen. Wir kombinieren natürliche Stoffe mit bunten Farben, aktuellen Mustern und Designs, und achten gleichzeitig darauf, dass die Produkte komfortabel und praktisch für den Alltag bleiben."
Woran erkennt man K-CLASSIC-Produkte?,Alle K-CLASSIC-Artikel können Sie an dem roten quadratischen Zeichen mit dem „K“ auf den Verpackungen erkennen – entdecken Sie die geprüfte Markenqualität zum Discount-Billigpreis! Mehr Informationen zu unserer Discount-Marke K-CLASSIC
Wie viele K-CLASSIC-Produkte gibt es?,"Zurzeit gibt es über 2.000 K-CLASSIC-Artikel und jeden Monat kommen neue Produkte hinzu. Unsere Mitarbeiter arbeiten ständig daran, das Sortiment weiter auszubauen, um Ihnen immer wieder neue K-CLASSIC-Produkte zum Discount-Billigpreis anzubieten. Anders als viele Discounter bieten wir Ihnen aber nicht nur Eigenmarken. Bei uns gibt es auch ein riesiges Markensortiment neben den unschlagbaren Discount-Produkten von K-CLASSIC. Während andere Discounter nur circa 3.500 Produkte im Sortiment haben, können Sie bei uns aus bis zu 60.000 Artikeln wählen. Mehr Informationen zu unserer Discount-Marke K-CLASSIC"
Warum steht auf der Verpackung der K-CLASSIC-Produkte „Hergestellt für Kaufland“?,Wir von Kaufland bestimmen selbst das Markenkonzept von K-CLASSIC und definieren die Anforderungen an die Produktqualität und an die Verpackung. Wir übernehmen die volle rechtliche Verantwortung. Deshalb werden wir auf K-CLASSIC-Produkten als Hersteller genannt.
Warum werden einzelne K-CLASSIC-Produkte von mehreren Herstellern produziert?,"Unser Ziel ist, Ihnen jeden einzelnen K-CLASSIC-Artikel zu einem hervorragenden Preis-Leistungs-Verhältnis anzubieten. Dabei möchten wir unsere hohen Qualitätsanforderungen durch leistungsfähige Anbieter aus dem In- und Ausland sichergestellt wissen. Unsere Einkaufsexperten achten bei der Zusammenarbeit mit verschiedenen Herstellern auch besonders darauf, die Transportwege kurz zu halten, um Ihnen absolute Frische zu garantieren."
Wie wird die Qualität der K-CLASSIC-Artikel sichergestellt?,Die Sicherstellung der Produktqualitäten von K-CLASSIC hat für uns oberste Priorität. Unsere Experten der Qualitätssicherung überprüfen dabei gemeinsam mit unabhängigen Instituten und Laboren ständig die Einhaltung unserer hohen Qualitätsanforderungen. Regelmäßige Produktverkostungen und Anwendungsprüfungen runden die Maßnahmen ab. Zudem bestehen strenge Vertragsabsprachen mit den Herstellern. Nur die zuverlässigsten und leistungsfähigsten Hersteller werden Lieferanten von K-CLASSIC.
Welche K-CLASSIC-Artikel sind glutenfrei und wie sind diese gekennzeichnet?,"Seit November 2005 ist eine Deklaration von definierten allergenen Stoffen Pflicht. Dazu gehören unter anderem Gluten, Laktose und Nüsse. Wir arbeiten mit der Deutschen Zöliakie-Gesellschaft zusammen und bringen nach und nach bei glutenfreien Artikeln das bekannte Ährensymbol auf die Verpackung auf. Ausgeschlossen von einer Kennzeichnung sind dabei Produkte, die von Natur aus als glutenfrei gelten. Dazu gehört zum Beispiel Mineralwasser."
Welche K-CLASSIC-Artikel sind laktosefrei und wie sind diese gekennzeichnet?,Von K-CLASSIC gibt es seit April 2016 eine eigene Linie namens K-FREE LAKTOSEFREI mit einem umfangreichen Sortiment von über 20 Artikeln – von Milch über Joghurt bis hin zu Aufstrichen und noch viel mehr. Diese Artikel sind gut an den auffälligen pinken Verpackungen zu erkennen. Zu den Produkten von K-FREE LAKTOSEFREI
"Ich möchte wissen, ob ein Artikel Gluten oder Laktose erhält. Gibt es eine Liste?","Eine Deklaration von definierten allergenen Stoffen ist Pflicht. Dazu gehören unter anderem Gluten, Laktose und Nüsse. Bei unseren K-CLASSIC-Artikeln ist die verpflichtende Kennzeichnung der Allergene komplett umgesetzt. Somit ist aus der Zutatenliste eindeutig ersichtlich, ob ein Artikel zum Beispiel eine glutenhaltige Zutat enthält. Über mögliche Spuren allergener Stoffe informiert zudem die Spurendeklaration. Eine Ausnahme bilden Konserven, da diese ein längeres Mindesthaltbarkeitsdatum haben. Vorhandene Bestände, die diese Allergenkennzeichnung noch nicht aufweisen, können bis zum Ablauf des Mindesthaltbarkeitsdatums abverkauft werden. Gerne zeigen Ihnen die Mitarbeiter an der Information eine Übersicht der in Ihrem Markt gelisteten laktose- beziehungsweise glutenfreien Artikel. Bitte beachten Sie aber, dass diese Auflistung nicht unbefristet gültig ist."
Sind K-CLASSIC-Produkte gentechnisch verändert?,"Nein. Wir verzichten bewusst auf gentechnisch veränderte und somit kennzeichnungspflichtige Zutaten. Dazu werden unsere Lieferanten vertraglich verpflichtet. Nach und nach finden Sie außerdem immer mehr K-CLASSIC-Produkte, die mit dem grünen „Ohne GenTechnik“-Siegel gekennzeichnet sind."
"Was kann ich tun, wenn ich mit einem K-CLASSIC-Artikel nicht zufrieden bin?","Wie bei allen anderen Artikeln gilt in diesem Fall: sollten Sie mit einem Artikel nicht zufrieden sein, stehen wir selbstverständlich zu unserem Kundenversprechen: „Ohne viel Worte – Geld zurück!“ Der Kaufpreis wird Ihnen dann beim nächsten Einkauf an der Information des Marktes erstattet."
Was ist K-BIO ORGANIC?,"K-BIO ORGANIC ist die Bio-Marke, die Sie exklusiv bei Kaufland erhalten. Das Sortiment umfasst über 240 Artikel und wird stetig erweitert. Alle Artikel werden nach den strengen Standards der EG-Öko-Verordnung angebaut, produziert und verpackt. K-BIO ORGANIC-Artikel gibt es in vielen Warenbereichen: Milchprodukte, Obst und Gemüse, Nudeln, Säfte, Konfitüren, Brühen, Mehle und andere mehr. Am Regal sind die Bio-Artikel bei Kaufland mit dem staatlichen Bio-Siegel gekennzeichnet. Wie alle Eigenmarken von Kaufland steht auch die Marke K-BIO ORGANIC für garantiert kontrollierte Markenqualität. Das heißt für Sie: Neben strengen Vertragsabsprachen mit leistungsfähigen Herstellern überprüfen die Mitarbeiter der Qualitätssicherung von Kaufland gemeinsam mit unabhängigen Laboren und Instituten regelmäßig die Einhaltung der hohen Qualitätsanforderungen an die Produktqualität und die Lieferanten. Darüber hinaus werden alle Produkte von K-BIO ORGANIC regelmäßig durch Verkostungen überprüft. Denn wir wollen, dass Ihnen K-BIO ORGANIC richtig gut schmeckt! K-BIO ORGANIC erhalten Sie zu den gewohnt billigen Preisen von Kaufland. Zum Sortiment von K-BIO ORGANIC"
Wo kann ich Artikel von K-BIO ORGANIC kaufen und wie erkenne ich diese?,"Artikel von K-BIO ORGANIC erhalten Sie exklusiv in allen Kaufland-Filialen. Sie finden die Artikel von K-BIO ORGANIC ganz leicht, denn sie stehen immer direkt beim jeweiligen Sortiment. Konfitüre von K-BIO ORGANIC beispielsweise finden Sie im Konfitürenregal. Unsere Bio-Artikel sind generell mit dem staatlichen Bio-Siegel gekennzeichnet. Artikel von K-BIO ORGANIC erkennen Sie am markanten grünen Logo mit dem roten K. Mehr über unsere Biomarke K-BIO ORGANIC"
Wie stellen wir die Markenqualität von K-BIO ORGANIC sicher?,Wir legen größten Wert auf die Qualitätssicherung von K-BIO ORGANIC. Alle Lieferanten der Artikel von K-BIO ORGANIC müssen die Vorgaben der EG-Öko-Verordnung erfüllen und bei den zuständigen Kontrollstellen zertifiziert sein. Die Öko-Kontrollnummer der Kontrollstelle ist auf jedem Produkt von K-BIO ORGANIC deutlich sichtbar aufgedruckt. Die Produkte von K-BIO ORGANIC sollen Ihnen richtig gut schmecken. Produkte von K-BIO ORGANIC werden deshalb regelmäßig verkostet und mit Produkten anderer Anbieter verglichen. Zusätzlich überprüfen die Experten der Qualitätssicherung von Kaufland gemeinsam mit unabhängigen Instituten und Laboren permanent die Einhaltung der hohen Qualitätsanforderungen von Kaufland. Strenge Vertragsabsprachen mit den Herstellern sichern den Qualitätsstandard von K-BIO ORGANIC zusätzlich ab. Nur zuverlässige und leistungsstarke Hersteller werden mit der Produktion und Belieferung von K-BIO ORGANIC beauftragt.
